খুলেনা	Don't open
তেই	It's
সিংগাপুর	Singapore
কাহিল	Cahill
ক্ষমতাই	Power
টাটা	Tata
এপ্লিকিশন	Application
ভূলবেন্না	Bhoolbenna
চাউল	Rice
থালি	Thali
অবক্ষয়	Degradation
ইনপ্রুভ	Inproof
জাফ্রান	Jaffron
বহুদূর	Far from it
দুপুর	Noon
হান্দায়	In Handa
শব্দটির	The word
অংশটা	The part
কমো	Comma
বিস্তৃত	Extended
পুকুর	Pond
ট্রেনিং	Training
জোয়া	Zoya
আচারের	Pickles
গুলোই	That's it.
কুতায়	Kutay
নেক্সটে	Next to
কামাইলেন	Kamaillen
মিলায়া	Milaya
রইলাম	I stayed
অপূর্ব	It's amazing.
যানলে	If you go
ওভেন	Oven
আগানো	Moving forward
পকখে	Pakhe
চিটিংদেরকে	Cheats
বলাটা	To say
ঠীক	The hook
নিল	Neil
চালাকি	Cleverness
জগবন্ধু	Jagabandhu
মটি	Matty
সালে	In
ভুনাকরে	Roasted
শালাগো	Shalago
পাটিয়ে	Pattye
দোষি	Guilty
কয়	How much
বিক্রেতা	Vendor
ভ্যানিলা	Vanilla
কড়াই	Curry
ফালুদা	Faluda
মজুমদার	Majumdar
আলুরদম	Potato drum
আমান্ত্রন	Amantra
সুগার	Sugar
দাবিতে	Demands
জমজম	Zamzam
দেখেই	See
ভ্রমণে	On a trip
রেসিডেন্ট	Resident
নখের	Nails
ঢুকেন	Intruded
নিঁজের	Ninja
ছড়ায়	Spreads
দেখেতো	You see
গেচেন	Gachen
ওয়েটারটা	The waiter
নামছে	Descending
নওসীন	Nauseen
ব্লগারকে	To the blogger
চেডেদিবেন	Cheddar
মাংসটা	The meat
প্রোমোট	Promoted
অন্যরা	Others
নাদিয়া	Nadia
পর্বগুলোতে	In episodes
ফুসু	Fusu
শৃঙ্খলাবাহিনী	Disciplinary
বেগুন	Eggplant
দরাই	Dorai
ডাকে	Call
চেঞ্জ	Change
ম্যাচুরিটির	Maturity
ভায়ের	Brother
বোট	Bot
বলেই	That's why
খাটায়া	Khataya
হ‌া‌তে	Yes to
বারতেছে	It's
জাবির	Jabir
লেগ	Leg
থেরাপি	Therapy
খামু	Khamu
হাওয়া	Wind
ভাবতেও	To think
৪১	- 41
ইনোভেশন	Innovation
তুহ	Tuh
বানালো	Made
তেচে	Teche
মনেও	Also in mind.
স্প‌্যানের	Spanner
সাংবদিককে	To the World
আলমকে	To Alam
বাচাও	Save
দারজেলিংক	Darjelink
বাচ্চাকেও	The child too.
দিল্লি	Delhi
পারাটা	Para
বেসসির	Bessie
লাইসেন্স	License
বেওয়াজাতি	The Bewa people
বাচাইছে	I want to
জুটি	The pair
ব্রোকার	Broker
লাগেই	It takes
ফাাসি	Facsimile
নিরীহ	Innocent
নাট্যাভিনেতা	Playwright
সম্পর্ক	Relation
জুহটা	Juhta
প্রেমেণ্ট	Premont
মিনিস্টার	Minister
সতর	Seventeen
দুষমন	Evil
সফলতম	The most successful
টেনশনের	Tension
কিছূ	Anything
ইসলামি	Islamic
খাইতেও	To eat
আগাই	Agai
২০১৯	2019
আলাউদ্দিন	Alauddin
অঙ্গ	Component
পারত	Could
লিরিকটুকু	The lyric
কয়টায়	At what time
গার্জিয়ানের	The Guardian
সেহেরী	Seheri
উদিচির	Udichi
নমশিম	Nomshim
প্রত্যাশিত	Expected
ধরনের	Type
ভিন্নতা	Differences
গুম	Disappearance
মৌ	Mau
সহযোগীতায়	In collaboration
চারপাশে	Around
দোষী	Guilty
আতি	Ati
বাডডা	Badda
ফাইজলামি	Faizlami
ব্যাক্তিগত	Personal
অ্যাপল	Apple
জিগাইলনা	Jiggylana
বরফও	Snow, too.
এখনতু	Now
হাসিমুখে	With a smile
চীজ	Cheese
ব্যথা	Pain
পাশানোর	Passover
ডেন্ডি	Dandy
সাল্লাল্লাহু	Sallallah
প্রথমদিকে	At first.
ক্রামচাপ	Crump pressure
আগ্রহে	Out of interest
ঢুকালে	When inserted
কনত	Kont
এমনটা	It's
লজ্যার	Lodger
স্নো	Snow
মগ	Mug
একটুকোও	Not a bit
দিতাছে	It's
বিচ	Mean person
জেলায়	In the district
সিক্ত	Sedit
জাইনা	Zaina
ফায়ার	Fire
দেশপ্রেম	Patriotism
৯৫	- 95
খাভার	Khavar
মুকাররাম	Mukarram
নিকৃস্ত	Dull
চুনো	Chuno
বিস্মিল্লাহ	Bismillah
করুইন	Curwin
পতনের	Fall
বুঝেনা	Don't understand
পেলাম	Got it
দাওয়াত	Invitation
অনুভূতি	Feelings
ওসি	OC
নাহলে	Otherwise.
টকটার	Talker
১৫০	- 150
মসল্লা	Maslla
শুনতেই	To hear
দেখতেই	To see
জনপ্রিয়	Popular
জিম্মি	Hostages
ট্রি	Tree
পানসি	Pansy
গানে	In song
ড্রোন	Drones
পেলছে	Got it
ওয়াও	Wow.
জাদ	Jad
লাটারী	Lottery
বিশ্ব	World
ডিফারেন্ট	Differential
রেন্ডি	Randy
অতীতেও	In the past.
দস্তগীর	Dastagir
তা্রিয়ে	Troye
স্টোরি	Story
চিন্ত	Thoughts
পাঠার	Sender
শুনিনি	I haven't
সপনো	Sapno
আফসুস	Sorry.
বীদ	Beed
যায়না	It doesn't go
হশ	Hush
সেইটাই	That's it.
আপুরা	Apu
কোরআনে	In the Qur'an
জ্ঞানকে	Knowledge
ভাইয়	Brother
ঠিম	Stop.
বস্তুনিষ্ঠ	Objective
বুজাতে	To understand
পৌছায়	Arrived
হালিমের	Halim's
করেই	By doing
তামাস্যা	Tamasha
দিতি	Diti
বুঝা	Understanding
ওয়াসাল্লাম	Elmur rahman
ছোটখাট	Minor
সংস্পর্শে	In contact
কাইসনা	Qaisna
ঘটলে	Occurs
বিত্তশালীদের	The rich
বাজাতে	To play
কাফির	Kafir
জিম্বাবুয়ে	Zimbabwe
বুদ্ধিমতি	Intelligence
ফেনীতে	In Feni
মেরে	Killed
ড্রয়ের	The draw
বাটুন	Batoon
মুখরিত	Full of
রিভিউগুলার	Reviews
ইয়ুজ	Use
ব্যস্ততার	Engagement
প্রদেশের	Provinces
দেশগুলা	Countries
বিশদ	Details
অসম্মতিতেই	In disapproval
আহাদ	Ahad
উটে	Camels
হো	Ho
তরে	Tore
গোরে	Gore
দাড়ান	Stand up
ইমরান	Imran
লেফট	Left
মনচাইতেছে	The mind wants
ঈদ	Eid
বোরহানীটাও	Borhani too
গাইল	Gail
খাবোই	Eat
নেয়	Takes
মারার	Marr
বিমোহিত	Mesmerized
স্বপ্নর	The dream
ভয়ংকর	Terrible
প্রাচ্চ্যের	Prachatya
রাইসের	Rice's
ভ্রূণ	Embryos
বোজায়	In Boja
সোলিমুললাহ	Salimullah
ফালি	Fali
ইভেন	Even
পশ্চিমবঙ্গের	West Bengal
করিয়েছিলেন	He did
স্ট্রবেরি	Strawberries
কায়েস	Qais
পর্যবসিত	Abandoned
কেড়ে	Taken away
আরো	More
ওনা‌কে	Who is he?
জেন	Jane
ফকিন্নীর	Fakinni's
কংলাক	Konglak
খুঁজেও	Find
মহাদেব	Mahadeva
সীফুডে	Seafood
আপনারখাওয়ারআগে	Before you eat
হলেতো	If so
পারি	Can
রিকশাচালক	Rickshaw pullers
অকপটে	Candidly
কন্ডিশনের	Conditions
একঘেয়েমি	Boredom
ফুছকা	Fuchs
পাগল	That's crazy
খাংকির	Khanki's
কাফেরদের	The infidels
ইব্রাহিম	Ibrahim
উভয়	Both
মড়েল	Morel
ডানে	Right
মুন্ত্রী	Muntri
লগিয়ে	Logy
বিজয়ার	Winners
গান	Songs
দেখবায়	See also
জঙ্গী	Militants
সতর্ক	Warn
কাওার	Kawar
রোমাঞ্চকর	Exciting
ইউটিব	YouTube
বারি	Bari
চ্চচরি	The witch
এস্তল	Astle
সিকিউরিটি	Security
প্রনায়ন	Formulation
যেতইনা	It doesn't go
করাইছেন	Done
খুজে	Looking for
তীব্র	Intense
টেলিটক	Teletalk
ফোকস	Focus
আল্লাহতালার	God's
ধরছিস	You're catching
চুল্লুকে	To Chullu
ইয়েলো	Yellow
খায়লে	If you eat
তাদেরো	Theirs too.
জঙ্গীর	The militant
বাংলাদেশীরাও	Bangladeshis too
ক্যামন	Camon
বিনা	Bina
হায়	Alas.
আছতো	It's
খেয়েছো	You ate
পিসের	Peace
আড্ডাস্থল	Chat place
রিকষাভাড়া	Rent
বোর্ড	Board
বাল‌ও	Baal and
সমালোচনাই	Criticism
আস	Come on
ভাগার	Bhager
স্থানীয়	Local
কোরছি	Corey
মোরেও	More than
চ্যানেলটায়	On the channel
কামায়	Earning
জানতোই	You know.
মানুষেদের	People
টিপ	Tip
ন	No.
ছারেন	Remove
মেডিয়ার	Medier
লোহার	Iron
গুলু	Gulu
ছিমছাম	Messy
ছানা	Chicks
কমা	Comma
১৩	- 13
বাকরখানি	Bakarkhani
বারুইপুর	Baruipur
ঘনঘটা	Condensation
শুনছেন	Listening
ডাউনের	Down's
লীলাখেলা	The game of leela
ঢুকলে	When you get in
পড়া	Read
যাবেনা	Can't
অনুভুত	Feeling
রিকশা	Rickshaws
ডেলী	Daly
রেস্টূরেন্টে	In restaurants
মালুর	Malur
প্রশংসিত	Appreciated
ক্রিমিনাল	Criminal
হচ্ছেন	It's
পাছায়	In the ass
বিনয়ী	Polite
প্রর্যন্ত	Until then
কাঁপড়	Shaking
অযুহাত	Excuses
দোলায়	On the swing
নিপিড়ীত	Oppressed
অঙ্গতার	Organs
ভুতুড়ে	Haunted
চেস্টা	Trying
সময়ের	Time
তদন্ত	Investigation
দূর্বলতা	Weakness
কারও	Someone
কোথায়	Where is
হয়েছিলেন	Became
প্রপারলি	Properly
লাকছে	Lac
গিনা	Gina
কলোঙ্ক	Cologne
কার্টুন	Cartoons
টর্চার	Torture
সিচুয়েশন	Situation
আইসক্রিম	Ice cream
হতভাগা	Unfortunate
বনোজ	Bonoz
যেখান	Where
পারো	You can
জিবের	Jib
বেশিরভাই	Most
প্রমোকোড	Promocode
পর্দায়	Screen
বন্দরকে	To the port
টুখে	Tukhe
পুরোদস্তুর	Full-fledged
সূর্যমূখীর	Sunflower
খিদিরপুর	Khidirpur
ব্যাবহারেই	In use
কমেন্টগুলিও	Comments too
প্রশ্নটা	The question
অবিলম্বে	Immediately
বল্লো	Say
বোনদের	The Sisters
ডিলেট	Delete
গিয়েছিলেন	He went
খুউউব	Khuuub
মেয়েকেও	The girl too.
রেস্ট্রিকশন	Restriction
মনএিচ	Monach
দেনা	Debts
শহস্র	Shahsra
সকলেরই	All of them.
দেরি	Late
রাফির	Rafi
লজ্জাস্থানে	In a place of shame
এক্টারনাল	Actarnal
অা‌ফ্রিকার	A freaker
বাস্তব	Real
মনির	Monir
তদের	Their
বিকৃত	Perverted
পার্লার	Parlor
ভিডিওটি	Video
অপরাধে	In crime
হুংকার	Shouting
পৃষ্ঠপোষকতা	Sponsorship
বয়কে	Boyke
হাপুস	Hapus
অ্যান্ডয়েট	Andyet
টুকরার	Pieces
ময়লা	Dirt
নুসা	Nusa
বেনজির	Benazir
ফাস	Fass
কেঁদে	Crying
দিয়া	Diya
পাশবতী	Passover
মহিলাটার	The woman
পরিচর্যা	Care
লঞ্চার	Launcher
কচুরি	Kachori
খাবারে	In food
ভরা	Filled
কাজই	Work
স্টমাক	Stomac
ময়লার	Dirt
জায়েন	Zayn
বর্তনানে	In rotation
গাফলতি	Errors
উনাকেও	Him too.
ডিপজল	Dipjal
স্মাট	Smut
আমারো	Mine too.
লেখা	Write
হেফাযত	Custody
বসবাসের	To live
দংশ	Sting
পাড়ে	On the shore
ট্যুরে	On tour
ধরেছেন	Caught
শাখা	Sector
ত্যাং	Tang
অপ্রয়োজনীয়	Junk
প্রভাব	Effect
দোওয়া	Dowa
গলিবয়	Gullyboy
তারা	They are
ভিতরেই	Inside
ভিসায়	On a visa
চাকমা	Chakma
চোদানোর	
হয়েগেছ	It's been
কামাইছো	Earn
কিক্রেতাদের	Keybuyers
জনমের	Janam
পৃথিবী	Earth
বুকপুলে	In the bookpool
মুখেই	In the face
ব্যস্ত	Busy
উষা	Usha
অাকরাম	Akram
জলহস্তীর	Waterfowl
পেলামনা	I didn't get it.
এডমিশন	Admission
খাগড়াছড়ির	Khagrachhari
এখানে	Over here
চারদিকে	Around
কোম্পনির	The company
কোকামে	Kokame
ফ্যামিলি	Family
গুয়া	Gua
কিলা	Killa
দিব্বেন	I'll give
কানড	Cand
আপ্নারাও	You too
বর্ষাতে	In the rain
পাটিং	Patting
আপনেরে	Yours
দরা	Dora
কূলিশ	Coolidge
জোউস	Jouss
মারাইছে	Killed
জালায়ে	In the net
ভাঙবেন	Break up
শসায়	Cucumber
ঘ‌রে	d.
রাজধানীতে	In the capital
খাবারো	Food
3য়	3rd
বাসই	Basai
যান‌‌	Go
মন্ত্রীদের	Ministers
কুমিরের	Crocodiles
দে‌খে	De khe
ধোনে	In the bow
ভুলতে	Forget
জালিমদের	The tyrants
মাইনষের	Maines
অধপপতন	Decline
করলা	Karla
রুজগারে	Ruzgare
প্রস্তুত	Ready
তাকি	Taki
মোস্তাং	Mustang Mostang
পাবলিসিটি	Publicity
কোন	A
হট	Hot
শুধু	Only
কুস্টিয়া	Custia
কর্ম	Action
নির্ভয়ে	Fearlessly
টিবিকে	TBK
আয়োজক	Host
ঢুকুয়ে	Inserted
600টাকার	Rs 600
সায়েন্সের	Science
দেশেের	The country
ভিখিরি	Beggars
হয়েও	Even if it is
আম্মী	Mom
অশ্লীল	Obscene
ছবিটা	Picture
ফুওয়াং	Fuwang
দ্রষ্টব্য	Note
ইসরাঈল	Israel
নামায	Prayer
রহিঙ্গা	Rahinga
চোদে	
দেশীয়	Native
খিঁলগাও	Khilgao
থামবে	Will stop
শিরিকি	Shiriki
সিস্টেমে	System
দেখাহোক	Let's see
শরীক	Partner
গরত	Gore
সপ্তাহে	In the week
বাদি	Badi
জাহেলিয়াত	Jaheliyat
০১৮১২৯১১৯৫৬	01812911956
নির্দেশ	Instructions
দেখেছি	I've seen
জানাতো	Let me know.
থেকেছি	I stayed
অর্থে	In meaning
হালাকে	To Halake
কোলাবোরেশান	Collaboration
ফুনশোলিং	Funsholing
অতিরক্ত	Excessive blood
স্টান্ডার্ড	Standard
উছিলা	Uhta
পেতো	Got
জন্যেই	For
গঢ়তে	To build
স্টাবেল	Stubble
দেখবো	I'll see.
মাছকেও	Fish too.
ডিস্ক্রিপশন	Description
গুছায়া	Bunches
পেঁয়াজ	Onions
জিতে	Winning
রাস্টু	Rastu
লেখালেখি	Writing
কিষের	Kisher
ক্যাসিং	Casing
একেকরকম	Different
বুঝে	Get it.
মুড়োঘন্টা	Hours of twisting
বয়সেই	Old
দেখাইয়েন	Show me
বর্ষে	In the year
সুজুকি	Suzuki
এসপি	SP
ঠোটের	Lips
ঢুকার	Entering
কার্যক্রম	Activities
সমপরিমাণ	Equal to
সাহেবরা	Sahibs
শিল	Shil
বাবুটার	The baby
কোকের	Coke
বাহির	Outside
হলুদ	Yellow
ভেবানী	Vebani
দর্জ্জির	The tailor
প্লিজ	Please
আকাশচুম্বী	Skyscrapers
নিয়ম	Rule
স্খলন	Ejaculation
ওরাতো	They are
বাড়ি	House
দুপুরে	At noon
নির্যাতনগুলো	Abuses
রাক্খস	Rakhs
খুদে	The kid
প্রিয়াঙ্কা	Priyanka
নেপালী	Nepalese
ব্যার্থতা	Failure
কুত্তারবাচ্ছারা	Puppies
পাইস	Pais
পাসপোর্টের	Passport
বিরুন্ধে	Against
বাংলা‌দে‌শের	Bangla de Sher
ধান্দাবাজী	Hypocrisy
বৈধ	Valid
দুর্গন্ধযুক্ত	Stinking
জন্য	For
ভুটানের	Bhutan
পরলাম	I wore
দূষিকে	The dossier
সেজান	Cézanne
রূপক	Metaphor
ডালনাকে	To Dalna
হুতাদের	The Hoos
নিরামিষ	Vegetarian
মাসে	In
যাচাই	Verify
বেড়াচ্ছি	I'm walking
লুচচামি	Luchchami
অফুরন্ত	Endless
শো	Show
বদলে	Instead
ইন্ডিয়ান	Indian
নামিদামি	Reputable
রাকথে	Rakthe
বয়দের	The Boys
ধারী	Holders
বান	Ban
বঙ্গ	Bengal
স্পেসিফিক	Specific
নোয়াখালী	Noakhali
পক্কের	Pucca
বলদার	Baldar
স্ট্যাক	Stack
উপকারি	Useful
রেব	Rebbe
নামই	The name
রওজার	Rouser
খেলমু	Playing
পাফনই	Puffonai
নীচ	Bottom
চোরা	Plagiarism
আরেকজনকে	To another
নিয়মটি	The rule
দর	Rates
ভূমিকা	Role
সমুখ	Face-to-face
হবই	I'll be
মাযা	Maza
হেরিটেজ	Heritage
টেন	Ten
রব্বুল	Rabbul
গুলিস্তানের	Gulistan
এবংনানান	And nanan
ইদুরের	Rats
ঘটি	Ghati
বলেও	Says
খাসনিতো	Khasnito
নজরদারিতে	Under surveillance
মেশিনগানের	Machine guns
ফাঁসির	Execution
স্টাডি	Study
নুরুভাই	Nurubhai
পাড়ি	Passing
জেনে	Knowing
মনডা	Manda
রমজানের	Ramadan
আইডিটি	IDT
বেড়াচ্ছে	Rotating
ঘাটি	The base
সুইমিং	Swimming
বাফেট	Buffett
নিয়োমিত	Appointed
যাওয়াই	To go
পেশার	Career
কস্টিং	Costing
গরীবেরা	The poor
জিমে	In the gym
জালালের	Jalal's
মাধুর্য	Sweetness
আল্লাহই	God.
অভিযোগকারী	Complainant
নানী	Grandma
আইন	Law
দেকবেন	Dekhbe
পরিপাটি	Neat
টাই	Tie
যাব	I'll go
কুলাংগাররা	The Kulangars
কখনোও	Never
বিশ্বাবিদ্যালয়	University
মম	Mom
বাকা	Baka
জোস	Josh
বিরিয়ানি	Biryani
জেলখানায়	In prison
দিয়েন	Given
ব্যবহৃত	Used
ইসকিনে	Iskine
দেবেন	Do
সুলতান্স	Sultans
ফোন	Phone
পাইরেসির	Piracy
বখক্ক	Bakhakka
প্রদানের	Payments
নরোপশুর	Naropshur
অনুসারীরা	Followers
ফিলিংসটা	Feelings
ধয়া	Dhiyah
পরিচয়	Identity
পাইনান	Pinan
হিংসুখ	Violentness
টেলিকাস্ট	Telecast
এরই	Of
মিডিয়ার	Media
11নাম্বার	- 11 Number
এডিশনে	In editing
মুতছে	Deleted
হকুম	Hokum
কেটারিং	Catering
ঠুকে	Stumbled
স্বাস্থ্য	Health
চেলানের	Chelan's
হাজবেন্ডকে	To Husband
মেট	Met
পারবেও	It can.
রোযা	Fasting
১০০০	1000
দ্বিগুন	Doubling
বলস	Say
দেইনাই	I didn't
গলার	Throat
এসেছিলো	It came
মেহনতি	Hard work
জঘন্যতম	The worst
মনকামনা	Wishing
ছিটার	Scatter
মানসুর	Mansur
ট্যুরটা	The tour
নিয়োগ	Recruitment
মিডিয়ার	Media
নিম্নমানের	Poor quality
র্গাল	Rägel
ক্ষুদা	Hunger
দেখলে	See
বাঙালিয়ানা	Bengalis
পুড়ল	Burned
বাংলার	Bengal
ইনডোর্স	Indoors
শোতে	On the show
জাজ	Jazz
একদিনের	One day
বাহিনীর	The force
করভো	Corvo
সর্বাত্মক	All-encompass
রো	Roe
রাজনিতি	Politics
ময়মনসিংহ	Mymensingh
জড়িয়েছে	Involved
সেতো	That's it
এক্তু	Ektu
কথাটুকুও	The word, too.
জানোয়ারের	Animals
আড্ডাখানা	Chatroom
ন্যায়	Like
অাপনার	Your
মনোরম	Pleasant
খুশির	Happy
সাহসিকতার	Bravery
নবী	Prophet
পোর্ট	Port
ঝুঁকিটা	The risk
বাপকেউ	Fathers
ঢোঁক	Get in
কেন	Why
তুলনাই	Comparison
একন	Akon
বুঝিনা	I don't understand
দিনমজুরের	Daily wage labourers
মাঝ	Mid-middle
নজিপুর	Najipur
ঊল্লেখ	Mentioned above
ডেস্ক্রিপশন	Description
তেজপাতা	Bay leaves
সাধন	Achievements
কয়েকটি	Some
টি‌কিট	T-kit
ইমিগ্রেশন	Immigration
সদিচ্ছা	Good faith
এক্সপেকটেশন	Expectations
দৃষ্টিনন্দন	Spectacular
যেবাবে	That's
মিশ্রণটাই	The mixture
থেজে	The
ব্যান্ডের	The band
খুলবে	Will open
ছাত্ররাও	Students too.
নামার	Landing
দস্তরখানার	The dungeon
প্যাটার্ন	Pattern
এটেন্ট	Content
ঝরঝরে	Slippery
নিশ্চয়ই	Of course.
হৈছৈ	It's
ভ্লগটা	The vlog
বন্যায়	In the flood
বাঙলায়	In Bengal
সাজিদ	Sajid
নিসে	In Nice
ভাবিনি	I didn't think so.
সংঙ্গীদের	Companions
বল্লেন	He said
তাজার	Tajar
টাইটানিকের	Titanic
এইস	This is
ভাবছি	I'm thinking
হিসাবের	Account
হতাশা	Depression
হারামিরা	Bastards
বেহেশ্তী	Beheshti
উপলব্ধি	Perception
বেবোস্তা	Bebosta
কোচ	Coach
তোমি	Tomi
এইপ্রথম	This is the first time
উদ্ধার	Retrieve
করলেই	If you do
খাবেন	Eat
পরিকল্পিত	Planned
মানুষটির	The man
নেহারী	Nehari
আয়োজক	Host
জন্মাইসো	Born
হাড়	Bones
রক্ষাকারী	Saver
নান্না	Nanna
মাউনরা	The Mauns
কামলাদের	The Kamalas
কয়েকবার	A few times
বিশ্বাস	Trust
নৌকায়	On the boat
ব্যাংকের	The bank
সায়	Support
ধরিয়ে	Catch up
ওবামা	Obama
এপ্লাই	Application
রক্ষা	Protect
অর্থনৈতিক	Economic
পেন্টস	Pants
দাওয়াই	Dawai
চলাচল	Movement
বিঙ্গানি	Bingani
ফুল	Flowers
হবেনা	It won't.
বিশ্ববিদ্যালয়ের	Universities
নিসা	Nissa
যাত্রি	Passengers
জিম	Jim
অল্পতে	In a little
বাহারে	Bahr
সমস্ষা	Samsa
পযন্ত	Until then
চকোরিয়া	Chakoria
কলাপাতাও	Banana leaves too.
উদ্দেশ্যে	For
পাপড়ি	Petals
সন্ধানে	Search
পহেলা	First
দোকানদারকে	To the shopkeeper
অনুপ্রেরণাদায়ক	Inspiring
জাওয়ার	Jawar
দেখাতাম	I'll show
মেযেরা	Girls
জ্য়গায়	In the flame
রাধারমণ	Radharaman
নিরাময়	Healing
ওজে	OJ
কাটারিভোগ	Kataribhog
শিয়াল	Fox
ডাইজেস্টিভ	Digestible
ইন্টারনেটেই	On the Internet
রসিক	Witty
বাচাই	I want to save
সড়ক	Road
মেটানো	Met
গলি	Alley
চাটনিটাও	Chutney too.
অনুরুদ্ধ	Unfavorable
বাঙালীরা	Bengalis
ঐতিহ্যবাহী	Traditional
কখনোই	Never.
রিসেন্টলি	Resently
একপিছ	One back and forth
গস্ত	Gash
দিলিপ	Dilip
গ্যানথিং	Anything
হারামখোর	Haramkhor
ফিল	Fill
বাচ্চাটাকে	To the child
আড্ডা	Chat
উপস্থাপনাটাই	The presentation
অ্যাডভেঞ্চার	Adventure
১২০	- 120
তাদেরকেই	To them.
নজ্জা	Naja
ক	A
জুয়ার	Gambling
অন্ধকারাচ্ছন্ন	Dark
বিদ্যমান	Existing
সম্পর্কেই	About
ট্যাস	Tass
বিশ্বে	World
দেবনিয়ারেও	Devonia also
বয়স	Age
চালাই	Run it
সীমিত	Limited
সাধারণত	Usually
মাবূদ	Mabud
বালির	Sand
বহুবার	Many times.
সাভক্রাইব	Savcrib
পোতাওলা	Potawola
তাদেরকেও	Them too.
ইন্টারনেট	Internet
ঘুরতেছিলো	It was moving
বিড়ি	Bidi
পবিএ	PBA
পথটাতে	Along the way
গেছিলেন	He went
ক্যামেরা	Camera
গন্ধযুক্ত	Smelly
হাসি	Laughter
হারিয়ে	Lost
দিনগুলোতে	In the days
লাঞ্চ	Lunch
শিখর	Peak
এসেপরে	After that
বৌদিকে	Sister-in-law
বরডার	Border
ছিক	Chick
পিয়াজ	Onions
রান্না	Cooking
বোনকে	To my sister.
ছালই	Bark
চেহেরাটা	The face
আত্মহত্যার	Suicide
স্পেশালি	Especially
কেনন	Kenon
ক্যাম	Cam
চিটাগাং	Chittagong
নির্খৃষ্ট	Unharmed
উল্লেখ	Specify
আকাংখায়	In desire
1টু	- 12
রিজনেবল	Reasonable
বান্দা	Slave
বউকে	To the wife
এঁর	His
হ‌য়েও	Yes.
করিয়ে	Done
রক্ষনাবেক্ষন	Maintenance
যাওয়াযায়	To go
মনিরোল	Monirol
লওয়া	Lawa
স্পাই	Spy
জাইগা	Zayga
আমেরিকাতে	In America
ব্যাটারি	Battery
পড়াশোনা	Study
বাসাবাড়ি	Home
হেড	Head
কমাতে	Reduce
সেক্ষেত্রে	In that case,
চিংরি	Shrimp
মালয়েশিয়াতে	In Malaysia
বউরে	In the wife
পিঁয়াজু	Onions
জানাবেন	Let me know.
সেলামিটা	Selmita
জেভাবে	How about
বল‌লে	Tell me
খায়িয়ে	Eating
পূর্বাভাস	Forecast
হাসালেন	He laughed.
পুলিসের	The police
দাঁত	Teeth
ধর্মে	In religion
সবের	All of
এমএম	MM
পারলাম	I could
পুলাগোর	Pulago's
লেক	Lake
কমন	Common
কতখানি	How much
বহুত	A lot of
কুনজর	Kunzar
আম্মা	Mom
আলফা	Alpha
বাসটা	The bus
শুকাইতে	To dry
বলাও	To say
হুহুতান	Huhutan
লিমিটেড	Limited
মীরজাফরদের	Mir Jafar's
জায়গাটার	The place
টানলে	If pulled
রুমেও	In the room too.
চিন	China
মিরপুরেই	In Mirpur
ঘুরিয়ে	Turning around
পেইলেট	Pailet
ইহুদিও	Jews too.
টকিং	Talking
দোকানটা	The shop
বেশিই	Too much
ইনকাম	Income
সীমালংঘনকারীদের	Transgressors
ডাটা	Data
উলট	Upside down
এতোকিছুর	That's all.
রজ্ঞন	Rjnana
আসছিলো	It was coming
১১০	- 110
কোরাআনের	Of the Qur'an
ইমুতে	Emu
তিনি	He
বছরই	Year
একাদিক্রমে	In a way
বাজিমাৎ	Bajimat
আবিনয়	Abinoy
ইমান	Faith
পেস্ট	Paste
বসতেন	He used to sit
বাংলাদেশেরে	In Bangladesh
ভরিয়া	Bharia
লিখিত	Written
ধরতেছে	Caught
হোক৷	Be it.
দৃশ্যে	In view
সুনুন	Sunun
সময়েও	Even in time.
এয়ারপোর্ট	Airport
পড়ার	Read
ঘোসখর	Ghoskar
কাংলাদেশী	Bangladeshi
ভালোবাসতে	To love
অ্যাপস	Apps
চটপটির	The saucer
বেদনা	Pain
ফাশানের	Fashan's
গন্ড	Gond
ম্যান	Man
মাসুল	Masul
বন্য	Wild
হিরোইন	Heroin
হিন	Hinn
সিং	Singh
জানাতে	To let me know.
ফেলতাম	I'd throw it away.
মেয়োনিজের	Mayonnaise
অন্যান্য	Other
দারি	Dari
জনবল	Manpower
যমীনে	On earth
ছেলেম	Boy
৮১০১২৪৪৭৬৬	8101244766
লিখতেন	He wrote
গালিবাজ	Abusers
কহেক	Kahek
প্রচারণা	Campaign
কুততার	Kuttar
কইছে	Where
রেসেপিটা	Recepta
ছাগল	Goats
সেগুলোর	Of those
বাছলে	Selected
আজীজ	Aziz
ওইখানকার	There
ধুকাবাজ	Vandalism
বর্জিত	Excluded
ফুটুক	Bloom
বার	Bar
বেইমানের	Dishonesty
কল্পনা	Imagination
ধীরে	Slowly
কাচে	In glass
কিলিয়ার	Killian
ভিডওতে	In Vidow
হাটালেন	Walked
দিখে	Dikhe
রাইসও	Rice, too.
প্রত্যাশা	Was
ডেইলী	Daily
তাকাতে	Looking at
সেহেরি	Seheri
ফাস্টফুড	Fast food
সাজেক	Sajek
দাবিদারদের	Claimants
লুক্স	Looks
খিচুড়ি	Khichdi
স্যাতসেতে	In Satse
আন্ধা	Blindness
মুবারক	Mubarak
কারোন	Karon
গরজন	Gorzon
কোয়ানটিটির	Quantity
ক্ষতিকর	Harmful
3জন	- 3
দত্তের	Dutt's
চুদান	
অসংক	Disambiguation
মাসের	Month
আনতে	To bring
সংজ্ঞা	Definition
জনসমুখ্খে	In public
রির্সোট	Resort
পরুয়া	Parua
