असलामवेल्कम	AslamWelcome
याहा	This is
तुटेगी	Will break
अभियान	campaign
लोयल	Loyal
बिश्वास	Biswas
झकास	Shock
फ्रान	Fran
चोर्टेरा	Thief
देखुगा	I will see
मोदीजी	Modiji
पिलाउन	Pilaun
कासा	Casa
काम्याब	Successful
आरक्षित	reserved
कितिया	How much
वाजसे	Waze
जीसस	Jesus
रुई	cotton
छाट	Sort
उद्द्योग्पतियो	Entrepreneurs
होते	
रंजीबमज़ुमदर	Ranjibam Majumdar
इत्विंगड्स	Itwings
गेडियन	Gedian
रंगत	hue
अबके	Now
ज़ारा	Zara
सल्ल्ल्लुउउ	Salluu
बुधा	Mercury
पोहोच	Reach out
निकी	Nikki
विवेकानंद	Vivekananda
अंगूर	grape
स्वच्छता	cleanness
धक्का	shove
चाहने	Wanting
अल्वा	Alva
बवलिचोरी	Theft
कूम	Koum
स्म्भल	
लोकोको	Lokoko
बेशरम	indecent
कामिना	Kamina
पांडे	Pandey
लव	tiny particle
आन्ना	Anna
ईवा	Eva
इंताज़ार	Waiting
फिर्स	Firs
डिपेंड	Dependent
खरा	genuine
जाएता	Go to
रंडवे	Randway
बर्दश्त	Tolerating
कोंपेद्तवु	Kompedtavu
आर	enmity
परिधानों	Garments
दिल्ली	Delhi
नाहू	Nahu
रूप	figure
परिवार	Family
हलीम	humane
पट	cloth
अंसू	Tears
भागे	Ran
नाले	Drains
थ	The seventeenth consonant of the Devanagari syllabary
पल्टेगा	Paltega
बनाते	Create
इंशाल	Inshaal
शीत	cold
क्रेज़	Craze
छोड़ा	abandoned
अजाओ	Come on.
आतम	Within
नी	Ni
कर्ज़	debt
ऐंगे	Angle
निभाया	Fulfilled
बागो	Bago
जनवाद	Democracy
आयेतो	It comes
बनायातो	Made
समजहा	Understand
उत्ती	Utti
बाहिया	Bahia
आभी	Right now
शहीद	martyr
मज़य	Have fun
त्वरित	accelerated
लोवी	Lowy
शादी	joy
मंजा	Manja
भिकारियो	Beggars
बजराहगी	Bajrahgi
एच्चे	True
र्क्खी	Rakkhi
बोली	dialect
क्र्क	Crk
गधेले	Donkeys
बचाए	Afloat
बटती	Bat
धूदू	Smoke
विधायक	legislator
पिछवाडे	Backyard
टम्सी	Tamsy
पीटे	Beaten
चक्र	wheel
न्ही	No
करोदपतियो	Millionaires
आगाय	
अर्थात	i.e
कावली	Kavali
चम्दी	Skin
औलद	Child
काल्पनिक	imaginary
ध्ब्बा	Dhbba
लाल	ruby
जनलोकपाल	Jan Lokpal
बानी	voice
ग्राव	Grave
प्स	P.S.
जस्टो	Just
डम्प	Dump
एप्क्स	Apps
वॉनडीईरफुलफुलफुल	Colorful
साबका	Saabka
पोश	covering
ब्दीय	
खुरान	Khuran
पैरों	Feet
खोलिया	Opened
मार्टा	Marta
श्याम	dark
मालनदाय	Freight
वाडा	Wada
सैफ	Saif
टोड्रोज	Todroz
डेगिन	Degin
योयो	Yoyo
फोरवेर्जेती	Forwardetti
भायो	Brother,
यूरोप	Europe
बहा	Shedding
मेगटे	Megte
सीख	advice
शुभ	the good
जीई	Ge
राये	Raye
ज्नकी	Jonki
कुयु	Kuyu
आरीई	Aari
करदुगी	Will do it
आश्रम	hermitage
लाडला	darling
आईएयतोह	Iaytoh
हालात	circumstance
क्रेन	crane
होए	the moon
जंब	Jamb
राह	way
चैपड	Chapad
इट	It is
वेड	Wade
हिबा	Hiba
सिधा	Straight
देयो	Give it
डोजी	Doji
बताओहा	Tell me.
ढेयन	Dheyan
पेने	Payne
कार्डियो	Cardio
मौकाआ	Chance
याद	remembrance
उम्माह	Ummah
क्रवाते	Perform
सालू	A kind of red cloth
लत्का	Latka
एतनी	So much
अड	Ad-y
एपक	App
आराय	And
धा	Feature
सिकहने	Sikane
नीच	low
केजरू	Kejru
नागर	civil
ज़रुर	certainly
बचाओ	Save
ताकलिफ्दा	Taklifda
कुटियो	Cottage
नंद	joy
देखता	seeing
सुबी	Subi
सामजे	Understand
भाने	Bhane
होरा	Hora
बांगाये	Bangaye
बनता	Formed
हराई	Harai
बताता	States
बॉयफ्रेंड	Boyfriend
पिछले	Last
सदी	century
कुचे	Kuche
अखयी	Akhayi
ऐसी	Such
नोट	currency note
बोलेंगेई	Will speak
पेयेंगे	Will get
जानू	Janu
दीद्दार	Diddar
स्बको	Sbko
भरोषे	Trust
लौंडा	boy
बंगे	Bange
जामिया	Jamia
जियादा	Ziada
बोलेगा	Will speak
हुकम	Order
थिंग्स	Things
राधा	Radha
बिचे	Biche
क्रांति	revolution
अखिलेश	lord of all
जाता	Are
चपचाप	Quietly
पायर	Pier
पेसे	Money
अपका	Yours
दोउ	Do it
रुक	stop
दोहरी	Dual
होनहार	destiny
होपायेगा	Will be able to do
रोहन	Rohan
टैंग	Tang
दुकान	shop
दरगा	Dargah
काकिब	Kakib
समजदार	Sensible
जालने	Traps
मुफतखोरो	Free
नुस्क	Nusk
फेर	turn
आनसु	Tears
मासी	maternal aunt
तक	until
डीनो	Dino
बड़ी	Dried tiny balls of grounded pulse
धुंधे	Fog
बाई	lady
पित्ता	gall-bladder
हिंदुस्ता	Hindustan
गाग्स	Gags
देखेगी	Will see
पदली	Fell down
आगाये	Come forward
तुम्पे	You
काबेर	Kaber
बदमाश	wicked
थाईद	Thailand
होगा	Will
दाश	Dash
चुकी	Mistake
रा	Ra
कायी	
वेरी	Very
लोटा	A round type of jug
पुनीत	pure
जासूस	spy
बेलन	roller
चुटियों	Jokes
आन्ने	Anne
कितनी	How
हेगर	Heger
जीत	victory
गजानंद	Gajanand
बीवी	wife
सहमत	agreed
बटकर्ने	Butkarne
सविनय	courteously
लायी	Brought in
फुस्की	Fuski
नल	water-tap
नप	Nap
निकलो	Get
लगे	toward
चलेगा	Will
उस्मे	In that
आर्रेय	Array
नज़ारे	Views
निज	own
हुथना	Huthna
बत्या	Batya
क्रियू	Cryu
चाहता	loved
दबंग	bold
छोड़ने	Leave
सिवा	Except
द्खिये	Look at
ज़ूर	Zur
ग़ज़ाब	Amazing
आईईईईएई	IEEE
बोलाये	Speak up
केबिन	Cabin
पड़ती	fallow land
बछोन	Bachon
अधुरा	Incomplete
सोनाटा	sonata
समोसे	Samosa
जीसे	From
सुधारने	Repair
क्रति	Culture
मार्ले	Marley
खरीदने	Buy
बेघेरत	Restless
बू	smell
को	for
टाइप	sort
हाहाहाहाहा	Hahahahaha
चिचा	Chicha
चुपन	Silence
हनुमान	Hanuman
कथूला	Kathu
ज़रुरर्त	Need
कायू	Kayu
गग्ग	Gagg
आप्योगेन्द्र	Apyogendra
उदा	Ex
चाइनीस	Chinese
सतगुर	Satgur
पैडल	pedal
आल्लाह	Allah
सनम	lover
आजकिपर्टी	Today's
इंत्ज़ार	Waiting
पितायी	Father
निकालते	Remove
लिहो	Write
हिईईई	Hieee
एकबर	Once
ईस्वरिया	God's
बढेगा	Will increase
सखते	Sakhton
एडवांस	Advance
रमज़ान	The month of long fasting by Muslim
जीते	Live
मूँग	a kind of pulse
काग	crow
अमीन	a petty revenue officer
लूक	falling or shooting star
हाफिज	Hafiz
कुटी	hut
जाड़ा	cold
महाईन	Mahain
पाय	Feet
केर्ते	Kerte
नार्कमी	Narkami
साय	Sai
कब	when
होनी	destiny
रैंडी	Randy
गिरी	kernel of a nut
खुजलीवाला	mangy
भोषा	Bhosha
अचानक	suddenly
बतानी	Tell me
पर्ता	Parta
इम्प	Imp
भरस्तचार	Corruption
सतगुरु	A true and ideal teacher or preceptor
वेल	Well
डाई	die
जरूर	fine
इज़त	Respect
भाभी	sister-in-law
सुक	Suk
केलिये	For
हरकत	motion
अभी	just
बव	Wow
जिन	oblique pl. of
आग्या	Fire
बिजली	lightning
मानवा	Human
कन्फेशन्स	Confessions
हलवा	A sweet dish made of flour
फ़ैमिली	Family
बेरोजगारी	unemployment
इटने	It's
गुंजिया	Gunjia
चालके	Drivers
बीकफ	Bekoff
आप्तक	Aptak
सिचुएशन	Situation
आँखो	Eyes
बहना	of water to flow
ईश्वर	lord
चलनेय	Walk
जुते	Shoes
बांजूऊ	Banju
ग्रेट	Great
सप्रब	Saprab
लाडू	Laddu
लीला	sportive display
अवसरामा	On occasion
विधानसभा	Assembly
कसरत	physical exercise
निखिल	entire
हुग	Hugh
बुद्दू	Buddu
दातार	giver
डैन	Dan
लीटा	Lita
सुलमान	Sulman
तोड़ी	mustard plant or seed
रहमत	divine mercy
तोवा	Towa
बुडडे	Sinking
रात	night
धरती	earth
हता	Hata
विराट	V
कहाइटे	Where
मोहपात्रा	Mohapatra
जीतन	Win
तोही	That too
उनिवर्स्टी	University
निच	Low
कांग्रेसी	Congressman
बाजार	market
हुकुम	command
परमार्थ	The highest or most sublime good
ऑस	Os
किसिको	To someone
दिये	Given
लगन	auspicious moment
किस्सा	anecdote
मेनी	Many
काँचे	Glass
दाले	Pulses
क्रीना	Crena
किनारा	edge
ज्येगी	
जन्म	birth
गलती	wrong
रायता	curd mixed with vegetable
काया	body
रोड	road
टीचर	teacher
जला	burnt
काता	spun thread
स्तिथि	Status
मुशयरा	Mushaira
अत	therefore
शूतेगी	Shooti
नास्पीटे	Naspite
गुरुधेव	Gurudhev
पाठके	Readers
खिलंगा	Khilanga
संगठनो	Organizations
कोयी	Anyone
रोयेंगे	Will cry
आए	Came
आपकिशपथ	Your oath
कोटा	quota
अभे	Now
फला	Fruit
शोरो	Shoro
सचदेव	Sachdev
रेहती	Stay
पोना	To make the dough into a loaf of bread
चुटकरा	Jokes
दिलवाना	To cause to be given
निकल्टी	Nickel
कोज्जुराग	Kojjurag
पका	ripe fruit
सर्कस	circu
क्यू	queue
देखलो	Look at
आईआम	Iam
पिलाऊ	Drink
ज़लील	abject
माद्रे	Madre
पुलिस	Police
चुटियापा	Chutiyapa
प्रॉब्लम	Problem
हिंदुस्थान	Hindustan
आपन	Your
हरमखोर	Haraamkhor
अवार्ड	award
बनाया	Created
लेज	Lease
फ्रेंडशिप	Friendship
नाराज	Angry
बेल	Wood-apple tree and its fruit
जेल	jail
मिले	Are
हॉकी	hockey game
बहुत	A lot
सैट	Sat
देखने	View
मुर्ख	Stupid
दौलत	wealth
जॉर्ज	George
राल्लेय	Ralleya
हैम	Ham
रेंगे	Range
केन	Ken
अप्पसे	Apps
तोफियाँ	Toffees
केरता	Kerta
बोलता	talking
पोस्ट	Post
देंगू	Dengue
जूते	footwear
नेट	net
ओवैसी	Owaisi
जश्न	festivity
बस्ता	satchel
लम्बे	Taller
अनवरन	Untitled
इंडियन	Indian
धुन	tune
बुधी	Wise
होने	Be
ईस्बर	Isber
जयललिता	Jayalalithaa
उसर्ट	Usart
हराओ	Beat
यात्रा	journey
जेंड	Zend
पापी	sinner
हैल	Hal
इटली	Italy
उआंग	Uang
ड्रा	Draw
प्राथमिक	primary
जनब	Sir,
हिहुन	Hihun
मोदीसरकर	Modi government
घजाने	Ghajane
प्रगति	headway
जैसा	similar to
अड्ड	Add-on
प्	P
सेहन	Sehan
भागा	Ran
डर	fear
हुहा	Huha
सस्ती	cheap
उमिद	Hope
बेसबरी	Besbury
देखके	Look at
स्लो	sloe
दिमक	Termites
रीलाइज	Release
मुबरखो	Congratulations
होवा	Be
गागा	Gaga
पाउआ	Paoa
लडकी	girl
कछुवा	turtle
बोलडो	Boldo
सबकी	Everyone
चस्मा	Glasses
लॉन्डे	Launde
चुरी	a small well
मानेन	Manen
फरिग	Farig
बुरी	bad
कक्किक	Kakkik
कामयी	Kamayi
आचे	Ach
मर्तबा	degree
हरमजादो	Harmajado
ढेर	heap
अपना	one’s own
उथले	Shallow
दोसुमान	Dosuman
उनको	them
जराहे	Just a little
बोर्ड	board an administrative body
काले	Black
नपुंसक	neuter
पकदो	Catch it
दीवानी	mad
मुन्नी	Munni
माइंड	Mind
विदेश	foreign country or land
ज़ुबान	Tongue
बुज़र	Buzer
सुसरा	Susra
बहती	Flows
सोंच	Think
तगा	Taga
बौथ	Bath
कौंसा	Which one?
बॉब	Bob
केहे	Why
तख्त	Cots
लेक्चर	lecture
बटन	button
चंद्रा	an open verandah
दिखाये	Show
भयानक	terrible
मुस्तफा	Mustafa
खीर	Dish of rice cooked in milk with sugar
बैच्चेय्य्य्यय्य	Bachaiyya
टम्पथ	Tampath
ईसा	Isa
शहरो	Cities
सनिमा	Sanima
मनाते	Celebrate
पिंजडे	Cage
बद्सुरत	Badsurat
वह	that
हमटो	Hamto
अप्रतिम	matchless
बहेंचोड़	Bahenchod
मलिकम	Malikam
जुलवानिया	Julvania
केरो	Cairo
मुस्लमान	Muslims
ईमान	faith
हलचल	agitation
सीचा	See's
अगले	Next
ख	The second consonant of the Devanagari syllabary
सुनयी	Listen
रियलिटी	Reality
सिया	Sia
भीकारी	Beggar
मैन	Man
कैसी	how
कला	pod of a bean
नाजरे	Nazre
वाप्स	Backs
इंटीमटे	Intimte
जनाब	your honour
लु	Lu
फिरेन	Firen
हासे	Laugh
इर	Ir
तनिक	a bit
बैक	back
शिप	ship
पहुचा	Arrived
रखवा	Keep it
देखो	Look at
फौज	army
सापने	Snakes
इड	id
यदेवन	Yadevan
ओकी	Oki
चिपकु	Chipku
हनु	jawbone
ट्रूटी	Error
चुटियापांटी	Chutiyapanti
किये	Done
लगाम	bridle
रीता	empty
क्रोरपति	Croarpati
होरी	Hori
याहना	This is
बुलंद	high
सेई	Sei
गो	cow
थाय	Thai
सेनर्स	Seners
थुरस्डे	Thursday
ऑफिस	office
थूधू	Thudhu
लेले	Lele
सोनियाजी	Soniaji
एग	Egg
आगये	The fire
चुरा	steal
जायज	Justified
पैसे	money
फराज़	Faraz
पुष्टि	nourishment
किशि	Kishi
कामीन	Kamin
सिलसिला	serie
थंध	Cold
इल्लाज	Illaj
दिया	given
क्बताब	Why
कुट्टू	Kuttu
सिक्टी	Sikti
मेंहनी	Mehni
मारा	beaten
का	of
बेबसी	helplessne
इफ्तर	Iftar
जारुरी	Necessary
हिल	rock
स्वाच्छ	Clean
खुले	Open
गुना	time
मिकलुन	Miklun
लन्गे	Lange
थंधियों	Cold
फेके	Throw it away
जरुरत	indispensability
मारी	epidemic
लड्डू	a ball-like Indian sweet-meat
मनका	bead
जानी	beloved
वाल	Wall
घूमो	Walk around
करडोंगा	I will do it.
रुपये	Bucks
टेक्स	Tex
एन	en
झूम	swaying
मार्क	mark
बाकने	Bakne
लाट	lord
अर्बी	Arby
नाग	cobra
जाओ	Go
तेरे	Thy
सच्चे	True
शदी	Century
चुनाव	election
रेहिये	Stay
गांधीजी	Gandhiji
छ्ल	
खवैश	Khavaish
देंगे	Will
फ्ब्लिव	Fbliv
बुल	Bull
टमको	Tamko
मारियो	Mario
मुनह	Munh
मर्ण	Death
गाइडलाइन्स	Guidelines
औओओ	Oooooo.
भेक	toad
कुरते	Kurte
निवासियो	Residents
करलेंगे	Will do it
हूराय	Hurai
खासने	Especially
संजता	Santa
पडेगा	Will fall
जाओगा	Will go
नेक्ट	Next
शानोने	Shanone
तश्रीफ	Tashrif
ताद	Palm
डायलॉग	Dialog
काने	Ears
एशिया	Asia
सिररर	Sir,
शायद	May be
परसरित	Transmitted
कटिलाना	Katilana
गर्मी	heat
चिंकारा	gazelle
अमला	staff
खानसी	Cough
वुब्ब	Wubb
बैठता	Sits
भोंके	Bark
जवाब	to a question answer
तुम्हें	to you
शाधे	
रन्दीपना	Randeepana
मरजी	Will
राहना	Stay
बांके	Banke
होताहा	It happens
तरीके	Ways
खोली	covering
व्ररी	Vri
ब्धिया	Bdhiya
अंस	shoulder
आवन्तन	Allocation
सबाह	Sabah
पाते	Find
बदबू	foul smell
मौत	death
इराडे	Intention
र	The twenty-seventh consonant of the Devanagari syllabary
नाचो	Dancing
कुंजिया	Keys
खुश्या	Happiness
पोस्चिम	Poschim
चलन	detached
हमेशा	always
अरविंदकेजरीवाल	Arvind Kejriwal
इत्ता	It's
हुऊ	Hu
केन्द्रिया	Central
उस्दीन	Usdin
भूगत	Suffering
ईमा	Ima
देकुंगा	Will see
गाल	cheek
असली	genuine
बारेय	About
थेघन्ता	Theghanta
बस्नी	Basni
उन्ही	To
जनना	to give birth to
यनाहा	Yanaha
टेकेकककक	TechCake
मरी	epidemic
एहसान	obligation
देखोगे	Will see
इंट्रव्यू	Interview
तुझसे	with thee
अजो	Ajo
इति	end
लोग	people
रेगे	reggae
सुन्दर	beautiful
आर्ररी	Arri
दिखती	Looks like
खाये	Eat
सबको	Everyone
लागवाई	Applied
न्सुई	Nsui
नौटंकी	Folk-drama with music and dance
दिखेगा	Look
स्वामी	master
बदो	Grow up
जवानी	youth
अमजद	Amjad
बध्ती	Binding
वालो	People
भिआ	Bhia
टीम	team
मोरदबाद	Moradbad
साठे	Stock
गनिटगुनिट	Ganitgunit
सुअर	pig
वाह्यूह	Wow
जुज	Juj
हामसे	From us
वाले	Those
चुपचाप	silently
प्रिवार	Prewar
नामोनिशान	trace
वंदना	bowing
स्माज	Smaj
वाइड	wide
हवलदार	a petty military officer
लिक्टा	Licta
आई	coming
हार्पिक	Harpic
वाह	bravo
बीख	Beak
डुंगिया	Dungia
अकरम	Akram
आखिरी	final
जगबीर	Jagbir
टमह	You
पु	Pu
ब्लोग	Blog
खुस	Happy
अंधेरे	Dark
जीजे	G.J.
कॉन्ग्रेचुलेशन	Congregation
कार्ति	Karti
होगाया	Will it happen?
सीमा	border
लड़किया	Girls
भुलकर	Forget
दित्ती	Ditti
कर्ले	Curley
क्रेंज	Krange
अजायेगी	Will come
कम	short
सर्करेन	Circen
शिर्क	Shirk
वफादार	loyal
होगाई	It will happen.
फादू	Fadu
प्लस	Plus
बाल	ear of corn
रत्न	precious stone
फ्लांग	Flanag
घोर	awful
अमेरिकी	American
नुक़सान	deficiency
ज़कात	alms
पानूती	Panuti
बच्चन	Bachchan
छोटी	short
कित्ता	How much
अबीसाप	Abisap
इस्के	Iske
पानी	water
भूटनी	Bhutan
समज	Understand
सैल	Sail
लूथ	Luth
फ्रिडे	Fride
जाँच	test
काली	goddess Kali
प्रांत	province
स्ल	Sl
होराहा	Horaha
जिन्को	Jinko
बास	scent
गाये	Sing
पिताजी	father
सूख	Dried
हाराय	Losing
लबनोल	Labnol
महेश	epithets of god Shiva
केवल	only
वजे	
रगेस्त्र	Register
सफ़ेद	white
योगा	Yoga
सिधे	Straight
लून	common salt
तोड़ता	Breaks
भलायी	Good
हिआ	Hia
मेडन	maiden
उतेर	Uther
लगेराहो	Lage raho
तबियत	Health
दिदार	Deedar
मौसम	season
रोको	Stop
पीचली	Back
बूदेह	Budeh
जस्ट	Just
लावडा	Lava
आपको	to you
हॉल	Hall
भोस्दी	Bhosdi
पैदायशी	Born
सोचु	Think
चपल	fickle
तरहा	Like
हुमेय	Humaya
सुपर	super
दुमलागकेहेशा	Dumlagkehesha
नोबोडी	Nobody
गयाब	Missing
कत्तिफ	Katif
बाँट	share
चिपका	attach
बदलती	Changing
सुमति	right way of thinking
पकोदे	Pakode
सबकुच	Everything
मको	Mako
जिंके	Win
चाहेगा	Would
ब्रेकअप	Breakup
नेहरू	Nehru
इसात	In this
खुशिया	Happiness
भालाई	Spear
गए	Gone
खोलते	Open
पूरे	Whole
लेना	to take
इं	In
हुमेसा	Always
बोलिई	Speak
बेरा	Bera
स्टाइल	style
उचल	Pick up
सेफप	Safep
टोने	Tone
पाकिस्तान	Pakistan
एगईजर्जय	Agaijarjay
अब्वी	Abvi
हेहे	Hehe
चेन	chain
लखिया	Lakhia
सबे	All
आमीन	amen
बेचारिया	Poor
मफलर	muffler
नाहा	Naha
टोपों	Cannons
जेसी	Jesse
मार्णा	Marna
गैंट	Gantt
अबेय	Abey
भेजते	Send
रिंकुगजवानिकर	Rinkugajwanikar
नातुर	Natur
अक्षत	uninjured
बहग	Behg
जितना	as much a
हमाय	We
जायो	Go
मी	M
आणे	Bring in
डेल्ही	Delhi
मिलेया	Meet
जैयु	Jaiu
रहाना	Stay
पेज	page
ऐश्वर्या	Aishwarya
युआ	Yua
उपर	up
पकोरा	Pakora
पुछेगा	Will ask
खाचे	Eat
केतना	How much
पहली	First
बहटक	Wandering
उप	sub
बहादुर	brave
लेलोगे	Will take
भूमि	land
कोल्ड	Cold
आपसे	You
पारा	quicksilver
बत्यान	Tell me
पेलवान	Pailwan
पच्ताये	Regrets
आईईई	IEEE
बोल्के	Speak
रखी	Laid
कैसा	what like ?
चौधरी	Headman of a caste or trade or village
फ	The twenty-second consonant of the Devanagari syllabary
मौका	chance
समघ्ता	Understand
निवेदन	prayer
मोहबताइन	Mohbatain
पाए	Found
ड्रापन	Dropping
कामिने	Kamine
खो	dispel
फाड	tear
बनारे	Make
निर्भ्या	Nirbhaya
रहीन	Rin
गायिये	Cows
सालेसर	Salesar
मुल्लिया	Mullia
डबल	double
मिलायी	Mixed
आहे	
होया	Yes
अल्लेयस	Alleus
तक्षी	Takshi
गररर्र	Garrar
आंखिरत	Eyes
अगकारी	Agkari
मिच	Mitch
मिलेंगे	Meet
हंजी	Hanji
लड़कियान	Girls
उम्म्ममाह	Ummah
लेंगेनी	Lenny
चश्मा	spectacles
चक्मा	Chakma
योग्यता	ability
पटना	to be filled
अप्को	Apko
लिखी	Written
स्कूटी	Scooty
आलिया	Alia
कोरोरो	Kororo
असान	Asan
झकस	
जाय	Go
आर्य	Arya
नमबर्ग	Namberg
मज़हब	religion
पगल	Crazy
तमिल	Tamil
दर्ता	Darta
ख्याल	A mode of Indian music
ज़रुरत	Need
बुर्राह	Burrah
तोफासी	Tofasi
अर्शद	Arshad
नव्भारत्तिमेस	New Year's Day
रे	O !
आबटो	Abto
ब्नायी	Banai
जबाब	Reply
फाकू	Fake
वॉई	Wow
आमिर	Aamir
कुबोल	Kubol
गॉड	God
मुख्यमंत्री	chief minister
जलने	Burning
एफिल	Eiffel
होंगी	Will
उन्दा	Unda
कक	
घमंडियों	Pride
ग्रमी	Grammy
फ्रेंडस	Friends
बन्ने	Banne
पड़ना	to lie down
गांदू	Gandu
इंशालल्ला	Inshallah
बाब	The matter
चित	Lying flat on the back
रोतिया	Rotia
नाइटाओ	Nitao
अंगदाई	Angdai
सुरवत	Surat
पवित्रता	purity
फ्रल	Fral
लीय	
पटचलेगा	Will be found
सिस्टर	sister
लोप	vanishing
किस्मत	fate
खोर	lane
जमाने	Age
रहीम	the merciful
फोने	Phone
कामिनी	woman feeling sexual urge
आइफोन	iPhone
रिश्ता	relationship
समजेगा	Will understand
तगडा	fatten
मनकिंद	Mankind
साद	Saad
औरो	And others
सेर	ser
बोरा	gunny bag
निकालें	Remove
झंझनाहट	Hassle
देक्ता	Look at it
वलोकी	Valoki
मेरापास	Near me
भोजनी	Food
रामलीला	Ramlila
इतिहास	history
हारे	Losers
फदाह	Fadah
मुहुहा	Muhuha
चेए	Chey
चाहरा	Chahra
करंगा	Will do
सुत्रों	Sources
कोए	Coe
त्व	Tv
ड्रीम	Dream
करुंगा	'll
तल्लुक	Talluk
आँखों	Eyes
गाले	Galle
बानो	lady
देशद्रोही	traitor to one’s country
पाजी	low
हाइर	with respect
बिक्टी	Bikti
प्रीगंट	Pregnant
मैट	mat
योवा	Yowa
खेरा	small village
इतु	Itu
छीपा	Hidden
सावी	Savi
शर्माशर्मा	Sharma Sharma
एवर	Ever
बाकवास	Nonsense
पोद्दार	Poddar
चालुंगा	I will go.
क्या	What
तल	surface
फ्लो	Flow
टेयर	Tier
भिईईई	Brother-in-law
काश	denoting wish or desire
रंगे	Dyed
कमर	waist
वैस	By the way
लेडकी	Ledky
हावे	Hove
चिल्ला	string of a bow
भय्या	Fear
पाया	obtained
पम्पवा	Pumpwa
गंदा	dirty
स्र	
पवन	air
शाकल	Shakal
भारती	goddess Saraswati
खोकला	Cough
सॉल्यूशन	Solution
लौफेड	Lofed
आधरी	Half
फिदा	Floored
लिखनी	the act of writing
पिडलिई	Pidali
भाई	Brother
करदा	Tax
कहता	Says
बजप	Bajp
जिगी	
अगया	Agaya
बेटा	Son
खुवाब	Khwaab
बेहिसब	Unaccounted for
जावोगे	You will go
राजवीर	Rajveer
थीस	Thes
लोगे	People
रत	attached
बेचारी	Poor
बुखार	fever
किजियेगा	Will do it
इंसांस	Insans
दन	Loud report of a gun or cannon
सद्दा	Sadda
बेकॉस	Becos
ना	not
उराने	Urane
सोन्नच	Sonna
लेकुम	Lecum
खानदान	blood
तरजीह	preference
बागर	Bagar
दिख्ताय	Visible
खेलना	to play
जंजीर	chain
जाओगी	Will you go?
पातहा	Patha
होजाई	It's done
मुसीबत	calamity
जांदा	Janda
तेसी	That's it
न्ज़ारा	View
कुटिया	hutment
पैसो	Money
बुहुबली	Buhubli
वालेयो	People
बाद	later
हारू	Haru
काहे	Why
ठोकर	kick
वेंसीयो	Vencio
माजक	Fun
लोल	pendulous
इसी	this exactly
बोहत	Very much
लिखा	written
लूजर	Loser
हूव	Hoov
दोस्तियान	Friends
माउट	Mout
धानेवाड	Dhanewad
असल	real
सहवाग	Sehwag
अबत	Now
हमारीन	Ourin
मारते	Beat
हुमरा	Humra
राजिव	Rajiv
अल्लाइक्वेम	Allaikum
लागू	applicable
तेल	oil
इग्नोर	Ignore
चांटने	Chanting
लेखपाल	Village offical who keeps record
स्वगत	speaking or addressing oneself
जानता	Know
धुंधना	Fog
भाहुत	Bhahut
फोटोज़	Photos
यिप्प्पीई	Yippei
ओपन	Open
हिसार	Hisar
दफनाने	Bury
रहुंगा	Will stay
दुखी	sad
भायी	Brother
समझ	understanding
विकास	evolution
जॉरर	Jourr
भाओ	Brother,
चाहेये	Want
साउथ	South
सीधी	straight
परखा	Tested
शेतन	The Devil
मातरम	Mataram
मुझको	me
अत्म	ATM
रोना	to weep
तुमरी	You
राइंडी	Randy
लाने	Bring
कलर	Color
उदेगी	Will fly
कित्नखरप	How much
मुज्कोआ	Mujkoa
मत्रामजाई	Matramzai
इसिलिये	That's why
गालय	Galle
लेरा	Lera
सोजाओ	Go to sleep
चिपकते	Sticking
स्कोर	score
झुटा	Jhoota
गुल	flower
खुली	Open
हैशा	Hasha
जीतेन्गे	Will win
मिलकर	Consisting
जन्लोकपाल	JanLokpal
जाओंगा	Will go
दिखाना	to show
सूट	suit of clothe
आयेसी	Aai
जाउंगा	I will go
कर्नल	colonel
ख्रब	Poor
दित्तो	Ditto
दत्तक	adopted child
प्रोमिस	Promise
वल्ला	Valla
अबसे	From now on
दुबे	Dubey
मारू	killer
दखो	Look at
डेकी	Deki
मैचर	Matcher
बेट्टा	Betta
हाटे	Hats
करुंगी	I will do
निचे	Below
चुटिये	Chutye
थरकन	Tharcan
चुट्ये	Chutye
खाके	Template
एवेसोन	Aveson
कहन	Where
आजाये	Come today
इमानदार	genuine
मारने	Kill
किसके	Whom
टकलीफ	Trouble
जैनगे	Jainge
बेज	beige
रहेंगे	Will
मजेदार	funny
विभागो	Departments
दिलसे	From the heart
रसोल	Rasol
पेचे	Peche
संघर्ष	conflict
मान्यता	accreditation
शत	one hundred
लडकिया	Girls
टॉयलेट	toilet
प्धा	P.D.
अचेदीनागयेहई	Achedinagaye hai
विद्यालय	school
बिकिनी	bikini
पोहुँचायेंग	Will reach
मेने	I
पल्लू	border
जन्ना	Janna
सुन्ता	Sunta
कारो	Do it
असरा	Asra
दरिंदा	beast of prey
मगनरेगा	Mgnrega
खुद	self
इंडियाहट्टिक	Indiahattik
लेला	Lea
जलेबी	sweetmeat
उखर	Overthrow
पाध	Plant
बत्थक	Batth
राओयेगा	Raoyega
रान्ती	Ranti
कु	bad
अंडरवियर	Underwear
लिख	compose
रज़ाई	quilt
सैलून	saloon
म	The twenty-fifth consonant of the Devanagari syllabary
आपजी	You
टांडा	Tanda
भी	also
बर्रर	Barrar
वाल्ड	Wald
थामा	Stop
बैटोरने	Batorne
रविष्न्द्त्व	Ravishnitva
चुके	Have
एयरपोर्ट	airport
जाते	Go away
