Data,Label
কিছুই বিলিভ করার যায় না । কারণ বাংলাদেশ হলো গুজব ছড়ানোর একটা কারখানা,2
আদনান ভাই সালাত না খাওয়ার জন্য রাগ করলাম,2
ভিডিওর প্রথমে সালাম দেননাই ভাই,1
"কিছুই করার নাই হাজারো সাংবাদিক গুম করে ফেলেছে অতীতেই , কারণ এখন দেশ চালায় পুলিশ লীগ ",2
আপনি কি সয়তান এর অনুসরন করেন,2
বাংলাদেশের পুলিশ হলো সবচেয়ে বড় সন্ত্রাস ওদের কারণে সাধারণ মানুষ ভয় পায় কোন একটা সাধারণ মানুষ পুলিশকে বন্ধু ভাবতে পারে না পুলিশ দেখলে ভয় পাই কারণ এগুলো জানোয়ার,2
ওনাকে যে ভুল সুদ্দারানুর শুজুকটা দেওয়া হয়েছে এই জন্য পুলিশ ও সুপার সব কে ধন্যবাদ ,1
পুলিশ অফিসর জাহিদুল ইসলামের আনেক ধন্যবাদ,1
বাংলাদেশের কিছু কুলাঙ্গার পুলিশ অপকর্ম করে আর সকল পুলিশের ওপর গালি পরে বাংলাদেশ পুলিশ নামটা একটা কলঙ্ক,2
২৫০ টাকা প্লেট ভাত আর ২৯০ টাকা প্লেট মাটন,2
অারে ভাই আপনারা রুজা রাখেনি রুজার দিনে খাবেন না । হে তবে রাতরে খাবেন কুনু সমস্ষা নাই । আর আপনাদের ভিডিও গুলা ভাল লাগে,1
এক সময় এই সরকারের আমিও সাপোর্টার ছিলাম অনেকাংশে কিন্তু এখন উনাদের পরিচালনার ধরনে তাদের প্রতি ঘৃনা জন্মে গেছে,2
ডান হাতে গ্লাভস বাট বাম হাতে নাই । বাম হাত দিয়া আবার গোস্তোও ধরতাসে । লাব কি ডান হাতে গ্লাভস পইরা,2
"অস্ট্রেলিয়া থেকে দেখছি , আমার চ্যানেলটিও ঘুড়ে আসুন প্লিজ ",1
"দেশ টা গেছে গুল্লায় , যার যা কিছু ইচ্ছা হইতেছে তাই করতেছে ",2
"প্রশাসন কি কর‌ছে , একজন মানুষ কেন তার প্রাপ্য থে‌কে ব‌ঞ্চিত হ‌বে ",0
হা হা ভাইয়া আপনি আমার মত মাছের তেল গরু চর্বি পছন্দ করেন আমিও খুব পছন্দ করি,1
"ভাইয়া একজন ভোজন রসিক কে একটু ঢিলেঢালা পোষাকে বেশী মানায় , আপনার খাদ্য রসিকতার সাথে সাথে কিন্তুু আপনার শারীরিক এক্সপ্রেশন গুলিও আমাদেরকে খাবারের প্রতি প্রলোভন তিব্র ভাবে জাগ্রত করে , আশাকরি বিষয়টা আমাদেরকে ভালবেশে পসেটিব্লি নিবেন , ধন্যবাদ ♥ ",1
ভাই সবই ভাল লাগল কিন্তুু সে তার বাম হাত দিয়ে খাবার দিচ্ছে এটা তো ভাল লাগল না,2
আমি শুধু চেয়েছি তোমায় ফোসকা ,1
ঢাকা থেকে এপ্লাই করলে সাধারণত 3 কর্মদিবস লাগে । এখন আবহাওয়া ভালো থাকার কথা । এখনি মূলত সিজন চলছে,1
"অস্ট্রেলিয়া থেকে দেখছি , আমার চ্যানেলটিও ঘুড়ে আসুন প্লিজ ",1
ভুটানের ভিসাতে কোন টাকা লাগে না,0
"বাংলাদেশ এখন আর কোন বিচার নাই , হয়তো মারো না হয় মরো  ",2
যে বাহিনীতে যত অযোগ্য এবং অদখ্য লোক আছে সেই বাহিনী ততটাই দুর্নীতি গ্রস্ত,2
"এটা আগে থেকেই জানতাম পুলিশের হাত আছে , এদের তু জন্মের টিক নাই , কান্কির বাচ্চারা সব পুলিশ ",2
অামি তো মনে করলাম গালিবাজ ছেলে,2
আসলে আমি নারায়নগঞ্জ থাকি তো তাই খুশি হইয়া গেসিলাম,0
"আমার একটা অনুরোধ আছে । জানিনা রাখবেন কিনা । খিলগা , বনশ্রী এলাকার বুফে রেষ্টুরেন্ট গুলো নিয়ে আপনার রিভিউ চাই । অঙ্গন বাদে ",1
কোলকাতা হয়ে গেলে অনেক ঘুরা পথ হয়ে যায় । আপনি কোন জেলায় থাকেন ? দার্জিলিং যেতে হলে কলকাতা হয়ে নিউ জলপাইগুড়ি জেতে হবে । তারপর দার্জিলিং,1
খুব ভালো হয়েছে (ছাত্র রাজনীতি স্থায়ীভাবে নিষিদ্ধ),1
শুধু লালবাগ এলাকা নয় ঢাকার শহরে রাত্রেবেলা এই কাজগুলো করে আজকে সাংবাদিক বলে এতকিছু হয়েছে সাধারণ মানুষের সাথে এরা এই ব্যবহারগুলো করে তারা কিছু করতে পারে না,2
এই দেশে এইটা কনো বেপার না । সবাই মারহাবে কথা বলতে পারবেনা,0
গোপালগঞ্জের বাবু ভাই এর চটপটি আর দত্তের সন্দেশ ও রসগোল্লা খেয়ে দেখতে পারেন । খাবার আর সুস্বাদু খাবার এই দুইটার পর্থক্য বুঝতে পারবেন,1
"আপনার হাসি , ধারা বর্ণনা এবং ভিডিও অনেক সুন্দর । আপনি কি সেনাবাহিনীতে কর্মরত ",1
যুগান্তর সম্রাট কে নিয়ে নিউজ করছে 22 টা,0
"কৃত্রিমতা বর্জিত রিভিউ , চালিয়ে যান ভাই ",1
আপনি কি আসলেই জানেন বিশ্বের সেরা কি না ? না জেনে আবোল তাবোল না লিখে একটু গবেষণা করে নিন ! এই ফ্যাক্টরি স্থাপত্য নকশা আমার কোম্পনির ! ২০০৯ সালে আমরা সারা বিশ্বের মধ্যে সবচেয়ে বেশি নম্বর পেয়ে এই ফ্যাক্টরি নকশার জন্য লীড প্ল্যাটিনাম পুরস্কারে পুরস্কৃত হয়েছি !,1
পাপন একটা মাদারচোদ । ওরে জুতা দিয়া পিটাইয়া টান টান করা দরকার ,2
"মসজিদ গলি , মিরপুর 10 নাম্বার গোলচক্করের সাথেই ",0
হানিমুনের মত রিফ্রেশরিং,1
"সবাই লটারি কেনা বন্ধ করে দিন , এবং সবাইকে জানিয়ে দিন ",0
পাপন রে তুই এখন সুর পাল্টাছ কেনো । আশরাফুলের সময় তো বললি ট্রাইবুনালের জন্য বসে থাকবি না । শাস্তি টা দিয়ে দিলি । এখন কেনো বলছিস যে বিচার হবে । বিচার করোছ না কেনো,2
এত খাবারের ভিডিও বানান আর বলেন কি পানি থাকতে দম দেয় জানেন না রান্না শিখবেন ওকে,2
ভাই মালাই চিকেন টা মনে হয় ভালো হয়নি,2
আদনান ভাই পাকিস্থানের গিলগিত বালতিস্থান এর উপর একটা ট্রাভেল ভ্লগ বানান । প্লিজ,1
"বাংলাদেশের কি গুন , শুধু নিউজিই হয় । এত খুন ধর্ষণ হয় একটারও তো ফাঁসি হয় না । বলতে লজ্জা লাগে আমাদের দেশটা হয়ে যাচ্ছে মেরুদন্ডহীন দেশ ",2
দুনীতি সিমা সারিয়ে গেছে এরা,2
ধন্যবাদ মাননীয় প্ৰধান মন্ত্ৰী শেখ হাসিনাকে,1
আর ওদের ওই চুলার কারনেই মুলত পিজ্জার টেস্ট কয়েক গুন বেশি বেড়ে যায়,1
গাবতলীর কোথায় কালাই রুটি পাওয়া যায়,1
"মুসলিম ঘরের সন্তান , কুরআন শিখে মানুষ মত মানুষ হও , মানুষ নামে অমানুষ হইও না , দোয়া করি দুনিয়া নয় আখেরাতটা সাজাও , তোমার জীবন অনেক কষ্টের , আল্লাহর কাছে চাও একমাত্র উনিই পারেন ভাগ্য বদলাতে ",1
আনন্দবাজার পড়ে আমার মাথা ঘুরাচ্ছে এখনো ! মরা পশুর মাংসের এত বড় র‍্যাকেট অথচ ধরা পড়লো এত দিন পর ! দুর্ভাগ্যজনক,2
দাদা একবার শূকর টেস্ট করে বলুন দেখি আপনি খেলে আমিও খাবার সাহস করবো,2
"জ্বী না , আমাদের দেশে কষাও বলে ",0
*কাঙলু শালা এশিয়ান পেইন্টসের ভিডিও চুরি করে আপলোড দিয়ে দিলি । *,2
আমাদের বাসাবোতেও বাবা রাফি রেস্টুরেন্ট নতুন ওপেন করা হয়েছে । আসবেন কিন্তু প্লিজ,1
"আলহামদুলিল্লাহ্ , আপনার কথা শুনে মনটা ভরে গেল , এটাই তো আমাদের প্রাপ্তি , দোয়া করবেন ভাই , আপনাদের দোয়ার জোরেই এতদূর আসতে পেরেছি ",1
একমাত্র আপনাদের উছিলায় লোকটা টাকা গুলো পেতে পারে,0
ভুস্কির পোলারা ভুয়া লটারি করছে,0
খুব টেনশনে ছিলাম যাক ভগবানের দায় বেঁচে গেছে খুব খুশি হয়েছি,0
সুদিপা পুলিশের মেযে তো টাকা ছিলতে যানে তবে মাটনটা না খেলেই পারতেন মনে হয হারাম বলি,2
"ইন শা আল্লাহ সমস্যা হবে না । তবে বাচ্চা নিয়ে টুর দিলে সাথে অবশ্যই কমন ওষুধ গুলো রাখবেন । আর যেহেতু শীত থাকবে তখন , তাই বাচ্চার জন্য শীতের ভালো প্রিপারেশন রাখবেন ",1
৬ । ক্যামেরা অনেক নাড়াচাড়া হচ্ছে মাঝে মধ্যে মাথা ধরে যায় । একটু কম নাড়তে বলবেন,1
সরকারকে এই প্রতিভাটাকে জগিয়ে তোলার উদ্দেগ গ্রহন করা উচিৎ । নিউজ দেখালে হবে না সরকারের দৃষ্টি আকর্শন করতে হবে বারবার,1
নিজেকে আটকিয়ে রাখতেও পারছি না,1
ইন্ডিয়া তে যদি কেউ বাংলাদেশের সাপোর্ট করে থাকে সেই একমাত্র মানুষ টি হলো সৌরগাঙ্গুলি,1
আচ্ছা অমাজন পুরলে কি খতি হবে কাররো জানা থাকলে বলুন ,0
"ভাই , ফালুদার রেসিপিটা বুঝলাম না । বোতল থেকে কি ওগুলো পানি দিলো ? আর প্রথমে বরফ পানি আর লেবু ছিলো গ্লাসে ",0
আমার মনে হয় এই বুঝি আর বাঁচবেন না,2
ভাই আমি দার্জিলিং বেড়াতে যেতে চাই । কিন্তু জানি না কত টাকা খরচ লাগবে । আপনার যদি জানা থাকে তাহলে বলবেন প্লিজ,0
"ভাই , আপনি হজ্ব করে এসে অ্যালকোহল ড্রিংকের দাম প্রকাশ না করলে কি হতো না ? আপনি পরোক্ষভাবে মাতালদের ড্রিংক করতে সাহায্য করছেন , ভালো থাকবেন ",0
আল্লাহর কাছে বিচার চাই এই লটারির আয়োজকের বউ পোলাপানের যেন এমন অসুখ হয় ৩০ লাখ কেন ৩০ কোটি টাকা দিয়েও যেন ভাল না হয়,2
কুমিল্লা হাইওয়ে বন্ধ হয়ে গেলে না খেয়ে মরবি,2
ভাই ক্যাম্পাসে আসছিলেন । অসংখ্য ধন্যবাদ❤,1
"বীরপুরুষ ভিপি নুর ভাই , ধন্যবাদ ভাই ",1
দেখতে দেখতে আমার খিচুড়ি পুড়ল,0
এরা হাতি দিয়ে টাকা চাঁদাবাজি করে যা আয় হয় তা নিজেরে খায় আর হাতিদের দিনের পর দিন খাবার না দিয়ে রাখে । এরকম একটা ঘটনা বনশ্রী আফতাব নগরে ঘটেছিলো,2
ভাইয়া পুরান ঢাকায় দাওয়াত রইল,1
সবাই ছাত্র লীগের বিরোদ্ধে ঔক্য গড়ে তুলতে হবে,1
"আমার ক্যাম্পাস । ধন্যবাদ , ভাই ",1
পৃথিবীর বিভিন্ন দেশে গলেন এবার আমার আপনার রাসুল সকল মুসলমানদের তিনি গুমিয়ে আছেন মদিনাতে এবার সৌদি আরব চলে আসুন,1
ভাই এদেশে জন্ম নেয়াটাই জীবনের প্রথম ভুল,2
টুরিস্ট ভিসার পেপারের সাথে অতিরিক্ত 2 টা পেপার লাগবে । 1 ) ভুটানের হোটেল বুকিং পেপার এবং 2 ) ঢাকা - বুড়িমারি - ঢাকা রিটার্ণ বাস টিকিট,1
সুবহানাআল্লাহ মাসাআল্লাহ আলহামদুলিল্লাহ,1
৩ : ৫০ গিলে খাওয়া লুক,0
এবং যদি আপনারা সবাই আসল দেশ প্রেমিক হয়ে থাকেন তাহলে এই গানটির এই শব্দটির জন্য বিরুদ্ধে যাবেন কারণ ইন্ডিয়া যেহেতু আমাদেরকে দাম দেয় না তাহলে আমরা কেন,2
"আপনি সিলেটে আসবেন জেনে , ভাবছিলাম আপনার সাথে দেখা করবো ! আমি সাস্টে পড়ি ",1
"কপাল খারাপ , গুড়ের জিলাপি ঢাকা তে তেমন নাই । সব গুলো খুব মজার মজার খাবার । খান ভাই ",1
কিন্তু আল্লাহ ক্ষমা করতে ক্লান্ত হয় না,0
আরে ভাল বাংলাদেশ তো । এতো অনুসন্ধানের দরকার নাই,2
শুধু ক্ষেত কামরুল এর রিভিউ কিছুই বুঝা যায় না,2
আমি জানিনা আমার ভাগ্যেও হয়তো তাই হবে,2
মক্তির স্বাদ কখনও পাবো বলে মনে হয় নাহ,2
"ভাই এগুলা দেখলে আমার সজ্জ হয় না , লোভ টা একটু বেশিই ",0
এরকম পুলিশ বাংলাদেশের যদি প্রতিটা ঘরে ঘরে হত তাহলে দেশটা শান্তিময় হতো ধন্যবাদ জাহিদুল ভাই আল্লাহ আপনাকে আরো অনেক বড় মনের মানুষ করুক,1
"ভাই আমি একজন পেসাদার সেব , বাবোরচি , আমাক দেশে , কোন জায়গায় হোটল ওপেন করলে ভালো চলবে , কম পুজিতে  ",1
এগিয়ে জাও । তুমি অনেক বরোহবে ভাই ,1
"এই নাদানেশ্বর সাম্বাদিক জানেন না এটা আসলে তার সার্চ হিস্টোরির ভিত্তিতে আসছে । তিনি হয়তো সারাদিন অনলাইনে সম্রাটের ফুটো থেকে ফাটা খুঁজে বেড়ান , তাই ওনার কথা গুগল বিশেষভাবে মনে রেখেছে ",2
"বাংলায় লিখলাম , জ্ঞানে কুলাইলে বুইঝা নিয়েন ",1
শুধুমাত্র বুয়েট নয় সব ইউনিভার্সিটিতে ই ছাত্র রাজনীতি বন্ধ করা হোক । আর কোনও আবরার ফাহাদের মৃত্যু দেখতে চাই না,1
বাংলাদেশের ডাক্তারের কোন সুপারিশ লাগে না । তবে বাংলায় না লিখে ইংরেজিতে লেখাই ভালো ছিল,0
"হা হা হা । এরপর উনি যখন চপস্টিক দিয়ে বিরিয়ানি খেয়ে দেখাবেন , তখন আপনার অনুভূতি কি হবে ভাবছি ! হা হা হা ",1
অসাধারণ সৌদি রিয়াদ থেকে মনির খান,1
চাঁদা বাজ আরো বহু হাতি ও মাহুত বিভাগীয় শহর ও এর আসে পাশে রয়েছে নিশ্চয় এদের পুনর্বাসন ও উপযুক্ত কাউন্সিলিং এবং অপরাধের শাস্তির ব্যবস্থা করা এখন সময়ের দাবী । এই আশা সাধারণ মানুষের । যেন ভালো থাকে মানুষ ও প্রাণী সকলে,0
কে শিখিয়ে দিলো ? ডক্টর হওয়ার কথা,2
আমরাতো এটাই চাইছিলাম । ম্যাডাম কে খাইয়ে দেন,1
হিল্লােল ভাই আপনার কথা ঠিক আছে এমহিলা বেসি কথাবলে মনেহয় ওনি ভালো রান্না করে মনেহয় না,2
এই উপস্থিকা আমেরিকা অস্ট্রেলিয়া নারীদেরকেও হার মানাবে । এই সব সাংবাদিকদের আল্লাহর ভয় নাই । যদি আখিরাতের প্রতি বিশ্বাস থাকতো তাহলে এই সব পোষাক পড়তো না ,2
সবচে মজা লাগছে.মোদী রে.একটুও দাম দিলো.না.,1
আমি কোন ট্যুর অপারেটর না,0
এগুলা হাসিনা মাগির পোষা কুকুর হাসিনা মাগীরে ধইরা লোহার একটা রড গরম কইরা ঠান্ডা অংশটুকু হাসিনার গোয়া দিয়া ঢুকাইয়া দাও গরম অংশটুকু বাহিরে রাখো যেন হাত পুড়ে যাওয়ার ভয় রড গোয়া থেকে বাহির না করতে পারে,2
আপনাদের এতো ভালোবাসা পাবার যোগ্যতা আমার ঙেই ভাইয়া ! তবু পাচ্ছি । আলহামদুলিল্লাহ,1
"ওনার চিন্তাভাবনা এবং আইডিওলজির লেভেল বুঝার মতো অ্যান্টেনা আপনার না থাকলে আপনি বুঝবেন না এটাই স্বাভাবিক , এটা আপনার দোষ না , সীমাবদ্ধতা ",2
আপনারা চায়তে মিজান বেশি ভাল,2
আসলেই ! খাবারের প্রত্যেকটি আইটেমের দাম অনেক বেশি ,2
সারা বছর ই যাওয়া যায় । শীতকালে গেলে কাঞ্চংজংঘা দেখতে পাবেন আর সাথে বরফও জুটতে পারে । বর্ষ্কালে গেলে মেঘ,1
এই সব পুলিস কর্মকর্তার বাড়িতে হামলা কেরে তাদেরো হেনেস্ত করা হক,2
মুখে ব্রণ ? তৈলাক্ত ? ইনফেকশন ? সকালে রোদে বের হওয়ার আগে দেয়ার মত কোন সানক্রিম পাচ্ছেন না ? এটি আপনার জন্য !,0
ইউলুপ করলে কোন ট্রাফিক পুলিশ লাগবে না । এবং এতে অনেকেরই ধান্দা কমে যাবে,1
আরে মূর্খের দল ( এডমিন প্যানেল ) তোদের থেকে ক্লাস 1 ও পড়তে পারে নাই রানা আরো ভালো বাংলায় । তোরা বলস গালি বয় কিন্তু রানা ঠিকই গলিবয় বলছে ওর গানে । হালা যতসব আবাল এডমিন ,2
কলকাতার বেহালা চৌরাস্তায় সৌরভের বাড়ি,0
সরকারের উচিত মানবিকতার হাত বাড়িয়ে দিয়ে এদের স্বাভাবিক পথে ফেরানো,0
রাতে খাবারের পর হাটলে তো আবার খিদা লাইগা জায় তখন কী করবো ,0
"ইহুদী কেনো মারলাম সেটা বিশ্বের মানুষ একদিন বুঝবে , যদি একজন ইহুদী ও জীবিত থাকে ",0
এটার মালিক কি সুদীপা ? জি বাংলার রান্নাঘরের,0
"ভাইয়া , আপনার রিভিও ভাল লেগেছে । আপনার তৃপ্তিজনক খাওয়ার মধ্যে এক ধরনের সুখ টের পাওয়া যায । ভালো থাকবেন ",1
এজন্যই আপনি হাতি হয়েগেছেন,2
"জানোয়ার ছাত্রলীগ , আল্লাহ তোদের ইমান দিক , না হয় ধ্বংস করে দিক ",2
পুলিশ নামের কলংক বাংলাদেশ থেকে মুছা যাবে না পুলিশ নাম পরিবর্তন করে অন্য নাম দেওয়া হোক পুলিশ বাংগালী জাতির কলঙ্ক,2
এই একটা পালতু প্লেয়ার বালের খেলা খেলে একবার স্টেডিয়াম এ ইংল্যান্ডের সাথে খেলতে দেখছি বাজে প্লেয়ার আর কোন দিন দলে দেখতে চাই না,2
"এরকম হাজারো আওয়ামী লীগ কর্মী আছেন , দেশের আনাচে কানাচে । একদেরকে প্রতিহত করার অনুরোধ জানাচ্ছি মাননীয় প্রধানমন্ত্রী নিকট ",2
এমন বিচারক । থাক আর বলবো না । তারাকে কে বিচারক বানালো ? ! ধন্যবাদ,0
কারণ 600টাকার মাছ 300টাকায় পাওয়া যাচ্ছে,0
এই মাদার চোদের বাচ্চা সময় মতো দেস নাই কেন খানকি মাগির পোলা ধান্দা চোদাও শুয়ারের বাচ্চারা আমি আশা করি সরকার এই ধান্দাবাজগো আইনের আওতায় আনবে,2
"খালি খাইলে ই চলবে না , কিচেন এ একটু ওকি মেরে দেইখেন কি নোংরা পরিবেশ এ রান্না করা হয় , ৩০০ ফিটের সবগুলা স্টল এ ",0
"এই পৃথিবী কখনো খারাপ এই পৃথিবী কখনো খারাপ মানুষের খারাপ কর্মের জন্য ধ্বংস হবে না , যারা খারাপ মানুষের খারাপ কর্ম দেখেও কিছু করেনা তাদের জন্যই পৃথিবী ধ্বংস হবে ",1
অাপনার চেনেলটা সাসকাইব করছি,1
"জিবে জল এসে গেল , খাবই খাবো ",1
মানুষ ই বিচার পায় না আর তো হনুমান,2
মশাই আপনি রাবরী তে না করলেন ? তাও জিলাবির সঙ্গে ? মিস করলেন দাদা ভাই,0
"উনার পদন্নোতি করা হউক । উনার মত মানুষ আইজি , ডিসি , হলে দেদেশের উন্নয়ন আশা করা যাবে ",1
"কমানো না , আল্লাহর নাম নিয়ে একদম ছেড়ে ই দিন , আপ্নার যা বয়স , এখনি ভাল সময় , আর ও পরে আর ছাড় তে পারবেন না ",0
ভাই কাচ্ছি দেখে নিজেরই খাইতে মন চাচ্ছে,1
"ভাই এগুলা দেখলে আমার সজ্জ হয় না , লোভ টা একটু বেশিই ",0
ঈদ মোবারক আদনান দা । আস্সালামুআলাইকুম,1
তাঁরা ধরা পরলেতো গোমর ফাঁস হয়ে যাবে তাই আর তাদের কে ধরবে না,2
সে হয় কাহারো কাছ থেকে ধার করছে না হয় কেনো ব্যাংক থেকে ঝন তুলছে ,2
"কেননা আপনার আরেকটা প্রশ্ন ছিক , যে ড্রেস ছেলেদেরও আছে মেয়েদেরও আছে কিন্তু কেউ পরে না ",0
বাংলাদেশে এর চেয়ে বেশি কিছু আশা করা যায় না ধন্যবাদ সাংবাদিক ভাইয়েরা পুলিশের কু কর্ম তুলে ধরার জন্য,1
ভাই যদি চার জন হয়ে থাকি তাহলে কি জিব ভালো হবে না কার,0
পদ্মার ইলিশ খেতে চলে যেতে পারেন মাওয়া ফেরি ঘাট,1
আমার চায়না গিয়ে এই হাল হয়েছিল শেষ দিন । ভীষন খিচুড়ি খেতে মন চাচ্ছিল কারণ ওখানে ঝুম বৃষ্টি ছিলো । দুর্ভাগ্য ওখানে আমাকে খিচুড়ি আর ডিম দেওয়ার কেউ ছিলো না । তবে পরের দিন রাত ২ টায় ঢাকায় ফিরে আর তর সয় নাই । রাতেই আম্মা রেধে রেখেছিল,1
"আদনান ভাই শ্রীমঙ্গল য়ের পানশী রেস্টুরেন্ট নিয়ে একটা ব্লগ তৈরি করে প্লিজ , বিশেষ করে বোয়ালমাছ মিস করবে না ভাই ",1
ভিডিওগ্রাফাররে খাওয়বে না ? ভিডিওগ্রাফাররে না খাওয়াইলে তো ভিডিও এমনি করবে,2
"ধন্যবাদ পুলিশ সুপার জাহিদুল ইসলামকে আপনার মানবিক মূল্যবোধ জাগ্রত হওয়ার জন্য , আশাকরি , দায়িত্ব পালন করার সময় নিরপরাধীকে আসামি হওয়া থেকে বাচাবেন , আপনার জন্য শুভকামনা রইল সব সময়ের জন্য ",1
আওয়ামী লীগে উন্নয়ন নামে সব চোর দল তারা সকালে ও এক কথা বিকাল আর কথা তারা নিজে হল ভোট চোর দল আর মিথ্যাবাদি,2
তা না হয় বুঝলাম কিন্তুু দোকান থেকে লুট করেছে কারা,2
এ ভাই আপনি দার্জিলিং এর ভিডিও করবেন এত ছোট কেন করুইন হ্যা ? এগুলা ঠিক না কিন্তু এত ছোট ভিডিও দেখে আমারও আপনাদের মত খারাপ লাগছে ভাই,1
"হালা বুইড়া , নাটক ফাটকে মনে হয় আর চান্স পায় না , তাই এই ডং এর ভিডিও বানাইতে দেশ বিদেশে ঘুরে , ! লল ",2
ইন্ডিয়া থেকে খালি হাতে ফিরলেন,0
ভাইয়া শুধু একটু ক্লাসে কেন অবরোধ ওপেন করো না কেন ভাইয়া তুমি,0
"অনেক অনেক ধন্যবাদ , চেষ্টা করব ",1
মানুষ যখন প্রশাসনের কাছ থেকে ন্যায্য বিচার পাবেনা তখন হয়ত নিজেরাই ঘাতক হয়ে উঠবে,0
আমার একটা ইউটিউব চ্যানেল আছে । আমার চ্যানেল পরিদর্শনের আমন্ত্রন ও সাবস্ক্রাইব করার অনুরোধ রইল ,0
সাংবাদিকের সাথে এ ব্যবহার ? সাধারণের সাথে কেমন হবে,2
"শুধু ঢাকার সহর থেকে নয় সারা বাংলাদেশ থেকে বিতাড়িত করা হোক , আর অর্থ অসহায় দুস্তদের মাঝে বিতরণ করা হোক ",0
"তুরে আল্লাহ মানুষ করুক , # রানা ",1
খুব হাসলাম যে পুলিশরা মানুষের ভাষাই বুজে না তারা কেমনে হনুমানের ভাষা বুজলো ?,2
মুসলিম না হলে কোনো সমস্যা নাই !,0
বিহারী মাদারচোদ গুলারে কুত্তা দিয়া পুন্দানো দরকার । মাদারচোদগুলা বাংলাদেশ কে সহ্যই করতে পারে না,2
সব কিছু যেন কপ্লনার মতো মনে হয়ে ছিল,1
"যদিও আপনার কিছু ভিদেই প্রায় মিলিওনের ঘরে , তবুও চাই যেন সব গুলাই মিলিওন পার হয় ",1
"আর যদি ধর্ম ইস্যু হয় তাহলে বলব বাংলাদেশী রেস্টুরেন্ট গুলোতে আমরা যে চিকেন , বিফ আর মাটন খাই অধিকাংশই সহি ভাবে আল্লাহু আকবার বলে জবাই করা হয় না ",0
"জতোই ছেষ্টা করে জান , কিন্তূ হানিফ সংকেত হতে পারবেন্না ",0
আমার ইউটুবিং করার ইচ্ছা আছে আপনে জদি হেল্প করতেন,1
ভাইতো আমগো ভাড়ির সামনে গেছেন,0
এই মাদার চোদ তরে পাইলে তর গরদান টা নিতাম,2
উনি প্রফেশনাল ফুড ব্লগার নয় । ভালো সাড়া পাচ্ছে তাই নিয়মিত করার চেষ্টা করছে কাজের পাশাপাশি । সো একজন মানুষ কে দিয়ে পুরো বাংলাদেশের নলেজ নিয়ে প্রশ্ন তোলা কি ঠিক,2
আল্লাহ হাফেজ । শুভ কামনা সব সময় । ফীআমানিল্লা,1
খুব ভালো লাগলো ভাইয়া । ডাব চিংড়িটা অনেক জোস লাগলো দেখে । এটা আমাদের এখানে পাওয়া যায় না । সবজিগুলো দারুণ ছিল । আর ওয়েটারটা অনেক যত্ন করে খাওয়ালো । যেন নিজের বাড়িতে খাওয়াচ্ছে । ওকে কিছু টাকা বকশিশ দিয়েন,1
আবারও প্রমান হলো বাংলাদেশের পুলিশ এখন আইনের সেবকের নামে গনবিরোধী কর্মকাণ্ড ও মাদক ব্যবসায়ীদের সাথে হাত মিলেয়ে অবৈধ ভাবে জনগণের অর্থ লুটপাট করছে ! বাংলাদেশের পুলিশ জনগণের বন্ধু নয় বরং জনগণের শত্রুতে পরিনত হোয়েছে ,2
আল্লাহ না বাচালে কারো ক্ষমতা নেই বাচানোর । তাদের হায়াত ছিল তাই বেচে আছে । যেদিন হায়াত শেষ হবে সেদিন কারোর ক্ষমতা নেই বাচানোর । আপনি কথা না বুজে বলছেন । এটা এক প্রকার শিরক । আপনার শিরক থেকে তওবা করা উচিত,0
"দাদা , অসংখ্য ধন্যবাদ এবং ভালোবাসা পশ্চিমবঙ্গ থেকে  ",1
হাস্যকর বড়ই হাস্যকর সব সম্ভবের দেশ এখন বাংলাদেশ যদি রিয়েলিটিশো থেকে কে হবে মাসুদ রানা যদি না নেয়া হয় তাহলে এসবের কি প্রয়োজন ছিল ?,2
আপনারা ঘুষ খাওয়া ঘৃনা করেন কিন্তু ঘুষ দেওয়াকে ঘৃনা করেন না । কারন আপনারা টাকা দেন নিজের সার্থের জন্য পরে চায়ের দোকানে বসে বা ফেসবুকে সামাজিক যোগাযোগে নিজেরাই তা ছড়িয়ে বেড়ান,1
১০০ টা স্ম্রাট মিলে একটা পাবলো হয়তে পারবে না,0
খাবারগুলোর মান ভালো ছিল ! ৫জনের মধ্যে অাদনান ভাইয়ের খাবার সমন্ধে অভিঙ্গতা বেশি _♥,1
ননস্টপ হিট মিউজিকের মতো ননস্টপ হিট খাবার,1
ভাই গত কিছুদিন আগে র‍্যাবের অভিযান টা হয়তো দেখেন নি । দেখলে এইভাবে খেতে পারতেন না । কি বাজে পরিবেশে এইগুলা বানানো বা সংরক্ষণ করা হয় ছি,2
"ভাইয়া , ময়মনসিংহের ফুড রিভিও দেখতে চাই আপনার মাধ্যমে ",1
"লোকেশন ডিটেল বলুন , আমরা যাবো ",1
"তোদের পরকীয়া দেখতে আর ভালো লাগে না , দেশ রাখি ভারতের খবর শুনাছ কেন মাদারের চোদেরা , তাদের দেশে তো তোদের কথা বলে না ",2
বেয়াদবি করার একটা সীমা আছে ,2
"আপনার যাবার আগে পারবো না , আপাতত নেপাল আমার প্ল্যানে নেই ",1
ল ? দুর্নীতিমুক্ত এদের আগে করা উচিত,0
বার্গার এর ইজত শেষ । আপনী যেই ভাবে খাইতাছন আমার দেইখা ভয় লাগতাছে । আপ জীবনে বাগার খাব না,2
বি : দ্র : আপনার খুঁত ধরা আমার মূল লক্ষ্য ছিলনা,0
